827053440	374	14.02	23	
827053760	373	14.36	23	
827054016	375	14.39	24	
827054336	373	15.34	23	
827054656	373	16.27	23	
827054912	374	16.26	23	
827055232	372	15.9	23	
827055552	373	16.86	23	
827055808	375	16.82	23	
827056128	373	16.52	23	
827056448	373	16.11	23	
827056704	372	17.72	22	
827057024	373	16.29	23	
827057280	372	16.73	22	
827057600	372	16.94	22	
827057920	372	17.97	22	
827058176	372	18.17	22	
827058496	371	18.18	22	
827058816	370	19.1	22	
827059136	369	20.23	22	
827059392	371	20.44	22	
827059712	371	20.44	22	
827060032	369	21.42	22	
827060352	369	21.15	22	
827060672	367	18.93	22	
827060928	365	20.83	21	
827061248	362	22.24	21	
827061568	364	22.95	21	
827061824	357	22.77	20	
827062144	356	23.06	20	
827062464	355	23.08	20	
827062784	354	23.08	20	
827063040	354	23.15	20	
827063360	354	23.11	20	
827063680	353	23.12	20	
827063936	354	23.14	20	
827064320	353	23.28	20	
827064576	350	21.44	18	
827064896	350	20.52	19	
827065216	350	20.5	18	
827065472	350	20.55	18	
827065792	349	21.49	18	
827066112	350	21.81	20	
827066368	347	20.62	18	
827066688	348	20.41	17	
827067008	347	20.19	16	
827067328	347	20.44	17	
827067584	348	20.67	18	
827067904	349	20.89	20	
827068160	349	20.39	20	
827068480	349	19.58	18	
827068800	350	18.05	19	
827069056	354	18.55	21	
827069440	346	15.07	21	
827069760	346	15.42	20	
827070016	345	15.46	20	
827070336	347	14.73	21	
827070656	348	13.24	21	
827070976	345	12.62	21	
827071424	343	12.69	21	
827071680	341	12.57	21	
827072000	340	13.32	20	
827072320	340	13.14	20	
827072640	340	11.98	21	
827072896	339	11.26	21	
827073216	340	11.89	20	
827073536	341	10.96	20	
827073792	343	10.85	21	
827074112	341	15.17	19	
827074432	341	14.21	19	
827074688	340	10.42	20	
827075072	339	9.4	21	
827075328	339	9.63	20	
827075648	342	10.38	20	
827075968	347	13.73	19	
827076224	346	16.17	18	
827076544	346	16.26	18	
827076864	346	16.04	17	
827077184	346	16.24	18	
827077440	347	16.02	18	
827077760	347	16.11	18	
827078080	348	14.66	19	
827078336	348	14.94	20	
827078656	351	14.93	21	
827078976	350	15.92	20	
827079296	350	17.6	22	
827079616	349	16.99	21	
827079872	346	17.07	21	
827080192	346	17.08	21	
827080512	347	17.06	21	
827080832	347	17.05	21	
827081088	346	17.47	21	
827081408	348	18.38	19	
827081728	349	18.82	20	
827081984	347	19.12	20	
827082304	347	18.45	20	
827082560	346	17.67	20	
827082880	348	18.07	20	
827083200	345	19.02	20	
827083456	347	19.16	20	
827083776	349	19.34	21	
827084096	354	22.06	22	
827084416	356	23.64	21	
827084672	354	26.17	21	
827084992	353	26.16	21	
827085312	355	25.97	21	
827085568	354	25.63	21	
827085888	357	25.9	21	
827086144	351	25.68	20	
827086464	352	27.73	20	
827086784	364	18.74	22	
827087040	360	21.58	22	
827087360	360	23.57	23	
827087744	355	23.79	22	
827088064	353	23.87	22	
827088320	360	17.34	22	
827088640	359	18.31	22	
827088960	356	18.07	21	
827089216	354	18.29	20	
827089536	354	18.72	20	
827089792	356	18.33	21	
827090112	361	19.87	22	
827090432	345	30.68	20	
827090688	344	31.26	21	
827091008	353	27.34	23	
827091328	356	25.31	24	
827091648	358	25.53	24	
827091904	360	23.71	24	
827092224	360	21.98	24	
827092480	369	15.52	27	
827092864	370	15.74	27	
827093184	366	18.94	26	
827093440	367	16.92	28	
827093760	385	14.62	31	
827094080	380	12.34	29	
827094336	373	16.04	28	
827094656	383	12.47	31	
827094976	387	11.41	29	
827095232	379	13.42	32	
827095552	383	13.64	36	
827095872	390	14.03	37	
827096192	394	13.54	36	
827096448	395	13.88	36	
827096832	386	12.76	36	
827097088	388	13.46	37	
827097408	389	12.92	37	
827097728	395	12.84	37	
827097984	393	12.54	36	
827098304	394	14.16	35	
827098624	391	14.37	34	
827098880	373	16.01	31	
827099200	383	14.04	32	
827099520	380	13.65	31	
827099840	381	13.13	31	
827100096	379	13.24	31	
827100416	389	12.0	33	
827100672	395	11.86	32	
827100992	398	10.94	32	
827101312	397	10.45	31	
827101568	396	10.18	31	
827101888	399	10.69	34	
827102208	402	10.29	36	
827102464	403	9.93	35	
827102784	400	9.56	34	
827103104	401	8.85	33	
827103424	405	8.52	35	
827103808	402	8.67	35	
827104128	406	7.89	36	
827104384	406	7.53	35	
827104704	412	7.45	35	
827105024	416	7.58	37	
827105280	416	7.66	37	
827105664	408	7.32	36	
827105984	413	7.13	37	
827106240	411	6.75	36	
827106560	407	6.11	35	
827106880	406	6.09	35	
827107136	417	6.48	37	
827107456	412	6.23	36	
827107776	414	6.39	36	
827108032	410	6.21	35	
827108352	409	6.2	35	
827108672	402	7.48	32	
827108928	387	8.02	30	
827109248	397	8.68	30	
827109568	402	7.65	32	
827109824	405	8.09	33	
827110144	410	7.51	34	
827110464	405	6.53	34	
827110720	403	7.03	33	
827111040	406	7.1	34	
827111296	407	7.03	34	
827111616	412	7.7	34	
827111936	408	7.7	34	
827112192	409	7.59	34	
827112512	393	7.53	32	
827112832	378	7.9	28	
827113152	374	8.55	26	
827113408	377	8.63	26	
827113728	382	7.47	30	
827114048	382	7.28	30	
827114304	396	7.49	32	
827114688	410	7.11	35	
827114944	402	6.67	33	
827115264	396	6.47	33	
827115584	398	6.52	33	
827115840	389	7.16	31	
827116160	380	7.26	29	
827116480	380	7.12	29	
827116800	382	6.95	30	
827117056	376	7.11	30	
827117376	378	7.52	29	
827117696	375	8.19	28	
827117952	379	7.96	29	
827118272	378	8.01	29	
827118528	376	8.48	30	
827118848	373	9.03	29	
827119168	370	8.95	29	
827119424	371	8.85	31	
827119744	370	8.96	31	
827120064	372	10.06	31	
827120384	374	9.49	31	
827120640	372	9.38	31	
827120960	373	8.67	31	
827121280	373	8.97	29	
827121600	374	9.1	31	
827121920	373	9.58	31	
827122176	372	9.25	30	
827122496	377	8.91	32	
827122816	378	8.9	32	
827123072	378	8.99	32	
827123456	372	9.14	30	
827123776	371	9.49	30	
827124032	375	9.6	30	
827124352	374	9.64	31	
827124672	374	9.45	31	
827124992	380	9.79	33	
827125184	375	9.63	29	
827125504	377	9.47	29	
827125760	379	10.22	33	
827126080	379	10.34	34	
827126400	385	8.13	37	
827126656	388	7.17	37	
827126976	392	7.3	38	
827127296	394	8.16	37	
827127552	392	9.17	35	
827127872	391	8.95	35	
827128192	391	9.01	35	
827128576	390	8.62	34	
827128832	390	8.84	34	
827129152	397	8.52	36	
827129408	393	8.93	35	
827129728	393	9.07	35	
827130048	395	8.76	35	
827130304	394	9.54	34	
827130624	395	9.34	35	
827130944	395	9.27	35	
827131200	399	8.88	35	
